Taxon,Level,S0002,S0004,S0006,S0010,S0013,S0014,S0020,S0021,S0023,S0028,S0033,S0036,S0045,S0047,S0049,S2450,S2772,S4431,S4804,S5295,S7373,S8014,S8090,S8807,Z0011,Z0022,Z0023,Z0026,Z0027
Mitsuokella,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003426463,0,0,0,0,0,0,0,0,0.019343494,0,0,0
Morganella,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046028688,0
Odoribacter,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008039009,0,0,0,0,0.011805769,0,0.003417289,0,0,0,0,0
Olsenella,genus,0,0,0,0,0,0,0.128739992,0,0,0.012419275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscillibacter,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038797423,0,0,0,0.008664628
Parabacteroides,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013969425,0,0,0,0.002747253,0.011600452,0.009843489,0.010884698,0,0,0,0,0
Peptostreptococcaceae,family,0,0.007746761,0.010184097,0.018367347,0.012015416,0,0,0.023796744,0,0,0.023660404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonadaceae,family,0,0,0,0,0,0,0,0,0,0,0.010438413,0,0,0.02206235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella,genus,0.097737943,0,0.160203682,0,0,0,0,0,0,0.015896672,0,0,0,0.307913669,0.00881459,0.708783567,0.097522404,0,0.791924418,0,0.388351648,0,0,0.38754588,0.003793844,0,0.049093656,0,0.009429154
Prevotellaceae,family,0.055911225,0,0.073051312,0,0,0,0,0,0,0,0.008350731,0,0,0.0882494,0,0.012838344,0.215076436,0.026520195,0.011134855,0,0.016813187,0,0,0.038349576,0,0.025205158,0.014350453,0,0
Romboutsia,genus,0,0.027113664,0.012142577,0.007823129,0,0,0,0.249776346,0.003353147,0,0.17710508,0,0,0.033093525,0,0,0,0,0,0,0,0,0.002756177,0,0.001789549,0.025791325,0.015861027,0.014771997,0.00891947
Roseburia,genus,0.007966994,0,0,0,0,0,0,0,0,0,0,0.001116591,0,0,0.013677812,0,0.004612546,0.006213937,0,0,0.01021978,0.140847962,0,0.014681686,0,0,0,0,0.014271152
Ruminococcaceae,family,0.030587566,0.052891679,0.101253427,0.044897959,0.006121061,0,0,0,0,0.009438649,0.089770355,0.000930492,0,0.037889688,0.026139818,0,0.008566157,0.003106968,0.009335283,0,0.00989011,0,0,0.020503734,0.755762348,0.017584994,0.057401813,0.044958253,0.021916412
Ruminococcus,genus,0,0,0.047591069,0,0.096123328,0,0,0,0,0,0,0,0,0,0,0,0.013442277,0,0.006748397,0,0.01032967,0.007699415,0,0.009745602,0,0.063305979,0.049093656,0.014343824,0.050458716
Ruminococcus2,genus,0.013942239,0,0,0.011564626,0,0,0,0.009125067,0,0,0,0.006048199,0,0,0,0,0,0.003772747,0,0,0,0.002155836,0.004823309,0,0,0,0,0.015200171,0.006880734
Streptococcus,genus,0.011523688,0.041137972,0.058166863,0,0,0,0.023177413,0,0.257582686,0.011177347,0,0.077696101,0,0,0,0,0,0.186418109,0,0,0,0,0,0,0,0,0,0,0.008409786
Sutterella,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002767528,0.005659121,0,0,0.002307692,0.015809465,0,0.008226807,0,0,0,0,0
Terrisporobacter,genus,0,0,0.021151586,0.007142857,0,0,0,0,0,0,0.007306889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turicibacter,genus,0,0,0,0.007823129,0,0,0,0.053676865,0,0,0.015309673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127421
