feature,group
CRS_9,case
CRS_21,case
CRS_31,case
CRS_49,case
CRS_66,case
CRS_27,case
CRS_39,case
CRS_42,case
CRS_45,case
CRS_47,case
CRS_48,case
CRS_57,case
CRS_74,case
CRS_7,control
CRS_11,control
CRS_17,control
CRS_26,control
CRS_33,control
CRS_53,control
CRS_58,control
