genus,species,CRS_11,CRS_17,CRS_21,CRS_26,CRS_27,CRS_31,CRS_33,CRS_39,CRS_42,CRS_45,CRS_47,CRS_48,CRS_49,CRS_53,CRS_57,CRS_58,CRS_66,CRS_74,CRS_7,CRS_9
Alishewanella,Alishewanella_fetalis,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0
Alistipes,Alistipes_finegoldii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alistipes,Alistipes_putredinis,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Alistipes,Alistipes_shahii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Allobaculum,Allobaculum_stercoricanis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0
Alloiococcus,Alloiococcus_otitis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alloprevotella,Prevotella_tannerae,0,0,0,0,0,0,0,0,0,0,0.422680412,0,0,0,0,0,0.425531915,0,0,0
Altererythrobacter,Novosphingobium_hassiacum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anaerococcus,Anaerococcus_octavius,1,1,0,0,0,0,0,0,0,0,0,0,0.876923077,0,0,0,0,0,1,1
Anaeroglobus,Anaeroglobus_geminatus,1,1,1,0,1,1,0,0,0.978021978,1,0.988764045,0,1,1,1,0,0,0,1,1
Anaeroplasma,Anaeroplasma_abactoclasticum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Anaerovibrio,Anaerovibrio_lipolyticus,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264705882
Anoxybacillus,Anoxybacillus_flavithermus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquabacterium,Aquabacterium_citratiphilum,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Aquabacterium,Aquabacterium_commune,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377777778
Aquabacterium,Aquabacterium_parvum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667
Aquabacterium,Imtechium_assamiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155555556
Arcobacter,Arcobacter_species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Arthrobacter,Arthrobacter_aurescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0
Arthrobacter,Arthrobacter_methylotrophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0
Asticcacaulis,Asticcacaulis_excentricus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Atopobium,Atopobium_parvulum,0,0,0,0,0,0,0,0,0,0,0,0.857142857,0,0,0,0,0,0,0,0
Atopobium,Atopobium_rimae,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0
Bacillus,Bacillus_cereus,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0,0,0,0,0,0
Bacillus,Bacillus_pumilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0
Bacillus,Bacillus_subtilis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bacillus,Bacillus_thuringiensis,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides,Bacteroides_acidofaciens,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides,Bacteroides_chinchillae,0,0,0,0,0,0.237704918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides,Bacteroides_clarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteroides,Bacteroides_coprocola,0,0,0,0,0,0,0,0,0,0.124087591,0,0,0,0.222222222,0,0,0,0,0,0
Bacteroides,Bacteroides_coprophilus,0.422222222,0,0,0,0,0,0,0,0,0.175182482,0,0,0.588235294,0.206349206,0,0,0,0,0,0
Bacteroides,Bacteroides_fragilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteroides,Bacteroides_ovatus,0,0,0,0,0,0,0.482758621,0,0,0.255474453,0,0,0,0,0.780487805,0,0,0,0,0
